file_name,split_open
images/t001/CAluWEgwPX.JPG,train
images/t001/EKyrFKHQzh.JPG,train
images/t001/ELAvEqeXxT.JPG,train
images/t001/IxRLFwTGCv.JPG,train
images/t001/LKCJAhfLBJ.JPG,train
images/t001/LZystXlIqe.JPG,train
images/t001/OiaMESWPyh.JPG,train
images/t001/VMyJozldvy.jpg,train
images/t001/XhbkFIOvZr.JPG,train
images/t001/ZKnMahXQgJ.JPG,train
images/t001/ZkWKNtWbVK.JPG,train
images/t001/anuJvqUqBB.JPG,train
images/t001/dLFculJDGP.JPG,train
images/t001/iiWUAXGTRk.JPG,train
images/t001/kTIpheVAuj.JPG,train
images/t001/oYBbBMeIrc.JPG,train
images/t001/rArWeMiEhi.JPG,train
images/t001/tIpzeVcJbR.JPG,train
images/t001/txgBopXzbZ.jpg,train
images/t001/uUVqsYByEj.JPG,train
images/t001/xldQLnWiRI.JPG,train
images/t001/zgOfklUqJC.JPG,train
images/t002/AWKZYHmepZ.JPG,train
images/t002/AyPUCFEHdl.JPG,train
images/t002/DrqbIVqYxx.JPG,train
images/t002/EjSeeiwrpz.JPG,train
images/t002/PnzurZBZbL.JPG,train
images/t002/SuPxFCvAob.jpg,train
images/t002/UIuKdSOZUI.JPG,train
images/t002/dFtPHvFXhQ.JPG,train
images/t002/dyrWnymJcS.jpg,train
images/t002/hPCHQNBqcs.JPG,train
images/t002/lhCREWlJLu.JPG,train
images/t002/mfzYdIbukk.jpg,train
images/t002/nbXkFSMdaZ.JPG,train
images/t002/pIHJimnzHb.JPG,train
images/t002/sSnmlGIDhj.JPG,train
images/t002/ufuwGirQLa.JPG,train
images/t002/waDhOeKzuw.jpg,train
images/t003/ETwjGRaQuO.JPG,train
images/t003/IbJfsmXgdi.jpg,train
images/t003/IsRboHQOvH.jpg,train
images/t003/JTJxSLImUS.jpg,train
images/t003/PwTyQxtigI.JPG,train
images/t003/RvpUYKwcYw.jpg,train
images/t003/SHZVAvsIpG.JPG,train
images/t003/TDVKNFzKkC.jpg,train
images/t003/UEQGSXvhff.jpg,train
images/t003/WdawXRghVK.jpg,train
images/t003/YZQHThUwDf.jpg,train
images/t003/ZToiMYHZgd.jpg,train
images/t003/aDgJZmrrTT.jpg,train
images/t003/bAsFeiqsYc.jpg,train
images/t003/fTHsesuTHC.JPG,train
images/t003/gkXVeMpaGy.JPG,train
images/t003/iNwxCyamyr.JPG,train
images/t003/qxoAjUErxq.JPG,train
images/t003/tMOUElhljO.JPG,train
images/t003/zlkamyNHCP.jpg,train
images/t004/ABuUaTxraz.jpg,train
images/t004/BaeAeoSXhY.JPG,train
images/t004/DBIYKSPapV.jpg,train
images/t004/DJCSPZOvwy.JPG,train
images/t004/DUtMXuyKUB.JPG,train
images/t004/ECpeXxeMsd.JPG,train
images/t004/ESNBlsdTpx.JPG,train
images/t004/ETeBOTKqcf.JPG,train
